first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Nikita,Kucherov,W,,1,1,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,8300,25,9.6,22.7,32.0,23.6,2.84
Alex,Ovechkin,W,,1,1,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,9200,4,4.8,25.5,44.5,22.0,2.39
Andrei,Vasilevskiy,G,,1,,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,9000,31,13.6,30.9,40.0,21.9,2.44
Connor,McDavid,C,,1,1,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,9300,16,10.1,28.0,50.9,20.8,2.24
Auston,Matthews,C,,1,1,,2020-01-29,Main,TOR,DAL,+1.5,6,3,8700,8,9.6,20.6,42.9,20.1,2.31
Steven,Stamkos,W,,1,1,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,8500,25,8.0,19.5,35.2,20.0,2.36
Mike,Smith,G,,1,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,7900,26,21.6,27.8,36.0,19.5,2.47
Aaron,Dell,G,,1,,,2020-01-29,Main,SJS,VAN,-1.5,6,3,7400,14,11.2,21.9,32.0,19.3,2.61
Braden,Holtby,G,,1,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,8100,27,-2.4,10.4,28.8,19.0,2.35
Leon,Draisaitl,W,,2,1,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,8400,16,16.0,24.3,41.0,18.9,2.25
Ben,Bishop,G,,1,,,2020-01-29,Main,DAL,TOR,-1.5,6,3,8900,17,-2.4,21.0,41.6,18.6,2.09
David,Rittich,G,,1,,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,7600,3,-3.2,15.8,36.0,18.3,2.40
Antti,Raanta,G,,1,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,8100,20,-14.4,16.5,38.4,18.2,2.25
Ilya,Samsonov,G,,2,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,8300,27,17.6,29.0,38.4,18.0,2.17
Pekka,Rinne,G,,1,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,7300,9,4.0,15.7,32.0,17.9,2.45
William,Nylander,W,,2,1,,2020-01-29,Main,TOR,DAL,+1.5,6,3,6500,24,17.3,22.6,28.0,17.7,2.72
Jacob,Markstrom,G,,1,,,2020-01-29,Main,VAN,SJS,+1.5,6,3,7600,18,-12.0,14.9,35.2,17.5,2.31
Frederik,Andersen,G,,1,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,8500,24,-9.6,11.4,31.2,17.3,2.04
John,Gibson,G,,1,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,7500,29,5.6,12.5,30.4,16.9,2.26
Mitchell,Marner,W,,1,1,,2020-01-29,Main,TOR,DAL,+1.5,6,3,7600,24,3.2,17.2,32.0,16.9,2.22
Elias,Pettersson,C,,2,1,,2020-01-29,Main,VAN,SJS,+1.5,6,3,7200,15,8.0,15.7,25.3,16.3,2.27
Jonathan,Quick,G,,1,,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,7200,10,4.0,13.6,25.6,15.9,2.20
John,Tavares,C,,2,1,,2020-01-29,Main,TOR,DAL,+1.5,6,3,7500,8,1.6,15.2,31.7,15.2,2.02
Curtis,McElhinney,G,,2,,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,7600,31,4.0,14.1,23.2,15.0,1.98
