date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,proj_FP/60,proj_FP,proj_value
21_03_24,Bryan Rust,W,PIT,BUF,0.96641052313681,1.0872118385289111,9.301701285191797,1.812019730881519,1.11016408845341,0.0,0.0,0.0,0.0,19.97388888888884,0.8265582821391928,0.7053705574578998,3.7,6.0,11.9,5800,0.7017745917701552,49.10244027890713,16.346111438403184,2.818295075586756
21_03_24,Sidney Crosby,C,PIT,BUF,1.053452984783457,1.4046039797112764,8.31057354662505,1.8728053062817012,0.8790479906359739,0.0,0.0,0.0,0.0,20.49111111111112,0.9421163310479108,0.7824092567303786,3.7,6.0,17.3,8100,0.7017745917701552,47.018796764043344,16.057789813379404,1.9824431868369634
21_03_24,Brady Tkachuk,W,OTT,CGY,0.9120191089718104,0.7817306648329804,13.289421302160664,1.4331728855271304,1.2416488726430503,0.0,0.0,0.0,0.0,18.67277777777773,0.4559423368034495,0.7309031616323822,2.6,6.0,14.4,6500,0.3815734245561414,50.79469933859158,15.807968883975898,2.431995212919369
21_03_24,Jake Guentzel,W,PIT,BUF,1.046038613030286,1.1622651255892065,6.741137728417399,2.092077226060572,0.7740685736424117,0.0,0.0,0.0,0.0,20.486111111111065,0.994606039544692,0.8174023957282327,3.7,6.0,16.5,7500,0.7017745917701552,43.557462165640985,14.872050160722294,1.982940021429639
21_03_24,Evander Kane,W,SJS,LAK,1.0192525481313732,1.52887882219706,10.06511891279731,1.6562853907134814,0.9453567383918486,0.0,0.0,0.0,0.0,19.793333333333283,0.7571091053954204,0.7433799066050311,2.8,5.5,11.4,7400,0.5163595982243688,44.87616287772087,14.804147509328105,2.0005604742335277
21_03_24,Mikael Backlund,C,CGY,OTT,0.8582326764144952,0.8582326764144952,10.012714558169112,1.7164653528289904,0.9597902097902108,0.0,0.0,0.0,0.0,17.382777777777754,0.6102984489696686,0.6102984489696686,3.4,6.0,11.3,4700,0.6184265754438586,45.52726202116007,13.189837975741439,2.806348505476902
21_03_24,Kris Letang,D,PIT,BUF,0.4093816631130073,1.0234541577825182,6.14072494669511,3.5820895522388145,0.2394882729211092,0.0,0.0,0.0,0.0,24.622222222222184,0.1292049394732042,0.8065689402067775,3.7,6.0,13.2,5900,0.7017745917701552,31.69100751521856,13.00505049143041,2.204245846005154
21_03_24,Nikolaj Ehlers,W,WPG,VAN,1.4490632318501129,1.7125292740046791,10.406908665105355,1.1855971896955468,0.8430913348946112,0.0,0.0,0.0,0.0,16.78166666666672,0.7008555313593612,0.6511864569191795,3.2,6.0,13.9,6600,0.5598015028739183,45.27040445599021,12.661880624093524,1.9184667612262913
21_03_24,Kyle Connor,W,WPG,VAN,0.9171974522292968,1.3102820746132808,8.516833484986325,1.3102820746132808,0.7560327570518631,0.0,0.0,0.0,0.0,18.30611111111116,0.7443848202807353,0.7132154566230433,3.2,6.0,12.8,7000,0.5598015028739183,41.25490759691392,12.586948705795502,1.7981355293993575
21_03_24,Blake Wheeler,W,WPG,VAN,0.8884188260179762,1.1422527763088264,7.995769434161785,1.3960867265996766,0.656160761501848,0.0,0.0,0.0,0.0,18.668888888888954,0.7417428041836411,0.7465061218063817,3.2,6.0,13.3,5800,0.5598015028739183,39.782650851455266,12.378298140854698,2.13418933463012
21_03_24,Joel Eriksson Ek,C,MIN,ANA,1.6295625694415854,0.5925682070696675,9.184807209579846,1.9258466729764192,1.099214024114233,0.0,0.0,0.0,0.0,17.311111111111128,0.6094944941171012,0.4839226387185775,3.3,5.5,7.6,4600,0.6747695450400617,42.757533820624445,12.336340313432029,2.6818131116156585
21_03_24,Kevin Fiala,W,MIN,ANA,0.8851370733106599,0.8851370733106599,8.998893578658375,1.4752284555177664,0.9603737245420656,0.0,0.0,0.0,0.0,17.099444444444423,0.5176482761881576,0.7577947052870339,3.3,5.5,8.8,5700,0.6747695450400617,43.105864783505375,12.284772334921392,2.1552232166528755
21_03_24,Anze Kopitar,C,LAK,SJS,0.6250000000000026,1.250000000000005,6.125000000000025,2.50000000000001,0.7375000000000029,0.0,0.0,0.0,0.0,21.399444444444374,0.7183055165030472,0.7062678472132546,2.8,5.5,12.6,7900,0.5163595982243688,34.210539208922604,12.201442220263754,1.544486356995412
21_03_24,Elias Lindholm,C,CGY,OTT,0.689813750287416,1.517590250632315,6.760174752816678,1.241664750517349,0.6291101402621236,0.0,0.0,0.0,0.0,20.494444444444586,0.6020600086288148,0.654149265880927,3.4,6.0,13.0,6200,0.6184265754438586,35.447373336340654,12.107903725718664,1.9528876976965586
21_03_24,Sean Monahan,C,CGY,OTT,0.4210854647535877,1.263256394260763,7.719900187149108,1.9650655021834091,0.7649719276356843,0.0,0.0,0.0,0.0,18.33111111111109,0.660786156238937,0.6088620034230736,3.4,6.0,6.6,5600,0.6184265754438586,39.381201500139376,12.031686339801826,2.1485154178217547
21_03_24,Logan Couture,C,SJS,LAK,1.60672443932012,0.6694685163833834,7.498047383493894,1.8745118458734733,0.7136534384646868,0.0,0.0,0.0,0.0,19.55944444444442,0.8729607553590013,0.6016375914403257,2.8,5.5,11.7,6700,0.5163595982243688,36.84330229430801,12.010575406256487,1.7926231949636546
21_03_24,Kirill Kaprizov,W,MIN,ANA,1.0944328329849835,2.0520615618468443,7.797833935018009,1.2312369371081069,0.8427132813984376,0.0,0.0,0.0,0.0,18.210000000000072,0.5020377780889813,0.7970148530015767,3.3,5.5,11.5,5900,0.6747695450400617,39.481439722053274,11.982616955643216,2.030952026380206
21_03_24,Thomas Chabot,D,OTT,CGY,0.2683363148479432,1.1627906976744204,5.456171735241512,3.4883720930232616,0.2334525939177106,0.0,0.0,0.0,0.0,26.251666666666637,0.1255969573050417,0.9011517319692716,2.6,6.0,10.1,5400,0.3815734245561414,27.15683833228622,11.881871126995549,2.2003465049991755
21_03_24,Dustin Brown,W,LAK,SJS,0.8437829602718797,0.5625219735145864,9.281612562990675,0.703152466893233,0.757998359310905,0.0,0.0,0.0,0.0,17.629444444444538,0.7080563368475963,0.6994350607762874,2.8,5.5,10.2,5400,0.5163595982243688,39.94646195798145,11.737232197339186,2.173561518025775
21_03_24,Andrew Copp,W,WPG,VAN,0.4165220409579998,1.666088163831999,6.664352655327997,2.2214508851093324,0.7427976397084327,0.0,0.0,0.0,0.0,18.548333333333364,0.7585508765729259,0.6846176886479057,3.2,6.0,9.8,3900,0.5598015028739183,37.45162611492708,11.577754084250671,2.968654893397608
21_03_24,Kevin Labanc,W,SJS,LAK,1.1295446523120345,1.2707377338510384,8.89516413695727,1.2707377338510384,0.8005647723261541,0.0,0.0,0.0,0.0,16.507777777777804,0.8295050884282678,0.7916438952935959,2.8,5.5,9.0,4700,0.5163595982243688,41.787530730058734,11.496987852897844,2.446167628276137
21_03_24,Mark Scheifele,C,WPG,VAN,0.8984557791296176,2.0215255030416395,4.716892840430492,2.470753392606448,0.7502105755732306,0.0,0.0,0.0,0.0,20.90500000000008,0.6947178971479497,0.7151561837825876,3.2,6.0,14.3,7000,0.5598015028739183,32.854599020618956,11.447089875434033,1.6352985536334332
21_03_24,Alex Iafallo,W,LAK,SJS,0.5364527064784107,1.2070185895764238,6.571545654360531,1.609358119435232,0.6786126736951895,0.0,0.0,0.0,0.0,19.920000000000016,0.747749179655454,0.7258969559815259,2.8,5.5,11.8,4800,0.5163595982243688,34.415456432519214,11.425931535596389,2.3804024032492475
21_03_24,Brent Burns,D,SJS,LAK,0.287731450646063,0.7672838683895011,4.891434660983069,3.932329825496194,0.2656720394298648,0.0,0.0,0.0,0.0,26.455000000000062,0.1544550865637368,0.629641553196416,2.8,5.5,11.8,5800,0.5163595982243688,25.719942679576285,11.340351393136537,1.9552329988166444
21_03_24,Jeff Carter,W,LAK,SJS,0.5923975645877877,0.7404969557347345,9.774559815698495,1.777192693763363,0.7360539740003261,0.0,0.0,0.0,0.0,16.99944444444451,0.6553857384176394,0.5185297537362822,2.8,5.5,8.8,4200,0.5163595982243688,39.84485674529954,11.28900714397616,2.6878588438038475
21_03_24,Mark Giordano,D,CGY,OTT,0.2389882829355726,0.7169648488067178,6.5721777807282455,5.018753941647024,0.2258439273741161,0.0,0.0,0.0,0.0,21.957222222222228,0.1636838541162813,0.7267957025765158,3.4,6.0,11.8,5700,0.6184265754438586,30.712176180219906,11.239234621952145,1.9717955477109024
21_03_24,Rickard Rakell,W,ANA,MIN,0.7453930568017145,1.3665539374698097,9.31741321002143,0.9938574090689524,0.8745945199806784,0.0,0.0,0.0,0.0,18.426666666666613,0.6002176811076103,0.6179169967341812,2.2,5.5,8.7,5400,0.3252304549599383,36.21974460620327,11.123486010171726,2.059904816698468
21_03_24,Matthew Tkachuk,W,CGY,OTT,0.5279560036663615,1.1879010082493136,7.127406049495883,0.5279560036663615,0.636186984417966,0.0,0.0,0.0,0.0,18.663888888888884,0.5985215865508937,0.6517903178289797,3.4,6.0,9.4,6200,0.6184265754438586,35.57357733581131,11.065688246264635,1.7847884268168765
21_03_24,Drake Batherson,W,OTT,CGY,1.239242685025824,0.309810671256456,8.209982788296085,2.943201376936332,0.8132530120481974,0.0,0.0,0.0,0.0,16.076111111111047,0.6278122814954943,0.9451010919298086,2.6,6.0,9.0,4800,0.3815734245561414,40.957928929555564,10.97407027254208,2.286264640112934
21_03_24,Josh Morrissey,D,WPG,VAN,0.1015944687455906,0.8127557499647248,5.4861013122618925,3.657400874841262,0.1991251587413575,0.0,0.0,0.0,0.0,23.61777777777778,0.1623621436876787,0.7239197817302483,3.2,6.0,11.3,4600,0.5598015028739183,27.56605912910637,10.850817645338612,2.358873401160568
21_03_24,Jared Spurgeon,D,MIN,ANA,0.1197804025952415,0.5989020129762074,4.791216103809659,4.551655298619176,0.3749126601231059,0.0,0.0,0.0,0.0,21.898333333333408,0.1384837313672062,0.6890197671837961,3.3,5.5,10.1,4400,0.6747695450400617,29.55697432482026,10.787474601494853,2.451698773067012
21_03_24,Tomas Hertl,C,SJS,LAK,0.6764374295377713,1.082299887260434,6.35851183765505,2.570462232243531,0.6426155580608828,0.0,0.0,0.0,0.0,18.516666666666588,0.6121060780239858,0.8442936333820198,2.8,5.5,11.0,6100,0.5163595982243688,34.87388372360879,10.762468004702557,1.7643390171643534
21_03_24,Timo Meier,W,SJS,LAK,0.856666931070037,0.9994447529150432,9.851669707305424,1.2850003966050556,0.6881891012929297,0.0,0.0,0.0,0.0,16.023888888888944,0.5893193064079623,0.6101257038309115,2.8,5.5,10.6,5500,0.5163595982243688,39.65264828613219,10.589827171452916,1.9254231220823483
21_03_24,Andrew Mangiapane,W,CGY,OTT,1.0027057138309734,0.8594620404265486,6.01623428298584,1.4324367340442477,0.711921056819991,0.0,0.0,0.0,0.0,17.483888888888874,0.7342330254547784,0.7342330254547784,3.4,6.0,6.8,4300,0.6184265754438586,36.228856470223796,10.55702168494826,2.455121322080991
21_03_24,Evgenii Dadonov,W,OTT,CGY,1.3606013522025882,0.1511779280225098,6.95418468903545,2.116490992315137,0.648553311216567,0.0,0.0,0.0,0.0,16.569444444444347,0.8019610921266691,1.027450942345624,2.6,6.0,4.6,5100,0.3815734245561414,38.21710851235129,10.55393760537843,2.0693995304663586
21_03_24,Pierre-Luc Dubois,C,WPG,VAN,0.9616485403548968,1.099026903262739,7.006296508299963,2.747567258156848,0.6456783056668594,0.0,0.0,0.0,0.0,16.172777777777736,0.7995620459732371,0.7169907999950969,3.2,6.0,9.3,5400,0.5598015028739183,38.89077320172546,10.482863876624323,1.9412710882637636
21_03_24,Erik Karlsson,D,SJS,LAK,0.1039200969920906,0.6235205819525439,4.88424455862826,4.052883782691536,0.2483690318110965,0.0,0.0,0.0,0.0,23.76499999999997,0.058223944032798,0.7938741145517354,2.8,5.5,9.8,4500,0.5163595982243688,26.410106612359144,10.460603060711902,2.3245784579359783
21_03_24,Brock Boeser,W,VAN,WPG,0.7672361737647864,1.4065996519021082,6.39363478137322,1.4065996519021082,0.7160870955138006,0.0,0.0,0.0,0.0,19.34611111111109,0.734606205250595,0.5854571654150174,2.8,6.0,14.2,7300,0.4401984971260817,32.43195382345005,10.457203036981479,1.4324935667097918
21_03_24,Johnny Gaudreau,W,CGY,OTT,0.6682010542727751,0.9354814759818854,5.211968223327646,0.8018412651273302,0.561288885589131,0.0,0.0,0.0,0.0,18.82722222222221,0.7626276772622136,0.6767563507719246,3.4,6.0,9.7,6900,0.6184265754438586,32.28321708145672,10.130055034013761,1.4681239179730088
21_03_24,J.T. Miller,C,VAN,WPG,0.8693552282057451,0.7451616241763529,5.2161313692344695,1.3661296443233135,0.5837099389381432,0.0,0.0,0.0,0.0,21.39611111111115,0.6071790064273008,0.651645743702846,2.8,6.0,15.1,5900,0.4401984971260817,28.399237697716707,10.127220754186718,1.7164780939299522
